image	English query	German query
https://tlk.s3.yandex.net/Fashion-200K/90758519_2.jpeg	red long slive dress for women	rotes langes Slive-Kleid für Frauen
https://tlk.s3.yandex.net/Fashion-200K/91391281_2.jpeg	light grey striped sleeveless shirt for women	hellgraues gestreiftes ärmelloses Hemd für Damen
https://tlk.s3.yandex.net/Fashion-200K/90616317_0.jpeg	formal black women blazer with pockets	formeller schwarzer Damenblazer mit Taschen
https://tlk.s3.yandex.net/Fashion-200K/90081967_0.jpeg	Silk gold blazer jacket for women.	Seidengoldene Blazerjacke für Damen.
https://tlk.s3.yandex.net/Fashion-200K/89652970_4.jpeg	Light orange pencil skirt with a slit in the left	Helloranger Bleistiftrock mit Schlitz links
https://tlk.s3.yandex.net/Fashion-200K/90713693_1.jpeg	Close robe for woman with color brown	Schließen Robe für Damen mit Farbe braun
https://tlk.s3.yandex.net/Fashion-200K/91315078_3.jpeg	Black below the knee skirt with flower pattern	Schwarzer Rock unterhalb des Knies mit Blumenmuster
https://tlk.s3.yandex.net/Fashion-200K/88207800_0.jpeg	Black fitted skinny jeans pants for women	Schwarze taillierte Röhrenjeans für Damen
https://tlk.s3.yandex.net/Fashion-200K/89265013_1.jpeg	Long skirt in color blue with floral print	Langer Rock in der Farbe Blau mit Blumendruck
https://tlk.s3.yandex.net/Fashion-200K/91105977_1.jpeg	Off white plain sweater paired with black plain jeans	Cremefarbener, einfarbiger Pullover gepaart mit schwarzen, einfarbigen Jeans
https://tlk.s3.yandex.net/Fashion-200K/71113727_4.jpeg	dark blue sleeveless fur long coat for winter	dunkelblauer ärmelloser Pelzmantel für den Winter
https://tlk.s3.yandex.net/Fashion-200K/91314574_1.jpeg	blue printed men's polo, cotton, formal	blau bedrucktes Herrenpolo, Baumwolle, formell
https://tlk.s3.yandex.net/Fashion-200K/90814038_0.jpeg	backless pink evening dress, back slit	rückenfreies rosa Abendkleid, Rückenschlitz
https://tlk.s3.yandex.net/Fashion-200K/91179147_3.jpeg	black leather midi skirt, sturdy, a-line	schwarzer Leder-Midirock, robust, A-Linie
https://tlk.s3.yandex.net/Fashion-200K/87867922_0.jpeg	acid wash denim pants, light blue	Jeanshose mit Säurewäsche, hellblau
https://tlk.s3.yandex.net/Fashion-200K/91224984_2.jpeg	gray yoga racerback, tunic, sports bra	grauer Yoga-Racerback, Tunika, Sport-BH
https://tlk.s3.yandex.net/Fashion-200K/91048697_1.jpeg	black sturdy pants, formal wear, cotton	schwarze robuste Hose, formelle Kleidung, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/80787116_4.jpeg	brown formal sleeveless top, tunic, offoce wear	braunes formelles ärmelloses Oberteil, Tunika, Bürokleidung
https://tlk.s3.yandex.net/Fashion-200K/91313198_0.jpeg	gray yoga pants, string waistband, midwaist	graue Yogahose, String-Bund, Midwaist
https://tlk.s3.yandex.net/Fashion-200K/73681750_0.jpeg	beige casual plain top, sleeveless, roundneck	beiges lässiges, einfarbiges Oberteil, ärmellos, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91039303_1.jpeg	black midi dress, buckles detailing, cotton	schwarzes Midikleid, Schnallendetails, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/75279804_0.jpeg	midi evening dress, sleeveless, ball skirt, red	midi Abendkleid, ärmellos, Ballrock, rot
https://tlk.s3.yandex.net/Fashion-200K/54938917_1.jpeg	two piece women's tuxedo, black, formal wear	zweiteiliger Damen-Smoking, schwarz, formelle Kleidung
https://tlk.s3.yandex.net/Fashion-200K/91420199_2.jpeg	silver electric pleated skirt, shiny material	silberner elektrischer Faltenrock, glänzendes Material
https://tlk.s3.yandex.net/Fashion-200K/91317790_1.jpeg	white off shoulder top, flowy sleeves	weißes schulterfreies Oberteil, fließende Ärmel
https://tlk.s3.yandex.net/Fashion-200K/90680364_4.jpeg	navy blue women's slacks with front pockets	marineblaue Damenhose mit Fronttaschen
https://tlk.s3.yandex.net/Fashion-200K/89828756_0.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/91408673_2.jpeg	black laxe tunic, sleeveless, red zipper	schwarze laxe Tunika, ärmellos, roter Reißverschluss
https://tlk.s3.yandex.net/Fashion-200K/90748819_1.jpeg	black formal wear slacks with back pockets	schwarze Abendhose mit Gesäßtaschen
https://tlk.s3.yandex.net/Fashion-200K/91120840_3.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/91048983_1.jpeg	floral midi formal wear skirt, blue, cotton	floraler Midi-Abendrock, blau, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/90841062_2.jpeg	black fitted formal wear slacks with back pockets	schwarze, taillierte Abendhose mit Gesäßtaschen
https://tlk.s3.yandex.net/Fashion-200K/84160366_2.jpeg	white varsity jacket, wind breaker with pockets inside	weiße Uni-Jacke, Windbreaker mit Innentaschen
https://tlk.s3.yandex.net/Fashion-200K/67150905_5.jpeg	black formal wear women's slacks, loose	schwarze Abendgarderobe Damenhose, locker
https://tlk.s3.yandex.net/Fashion-200K/91426135_0.jpeg	floral short sleeves shirt, brown, round neck	kurzärmliges Hemd mit Blumenmuster, braun, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91388888_1.jpeg	blue long sleeves, mesh neckline, cotton	blaue lange Ärmel, Netzausschnitt, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/87713596_0.jpeg	brown midi formal wear skirt with pockets	brauner Midi-Abendrock mit Taschen
https://tlk.s3.yandex.net/Fashion-200K/91362418_0.jpeg	brown animal print formal wear slacks	braune Abendgarderobe mit Animal-Print
https://tlk.s3.yandex.net/Fashion-200K/83316967_2.jpeg	black midi formal dress, sleeveless, cotton	schwarzes Midikleid, ärmellos, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/91370993_0.jpeg	bue and white floral midi dress, sleeveless	midikleid mit Blumenmuster in Blau und Weiß, ärmellos
https://tlk.s3.yandex.net/Fashion-200K/91266127_2.jpeg	black round neck shirt, short sleeves	schwarzes Hemd mit Rundhalsausschnitt, kurze Ärmel
https://tlk.s3.yandex.net/Fashion-200K/91390296_3.jpeg	black sturdy leather pants, flowy pants	schwarze robuste Lederhose, fließende Hose
https://tlk.s3.yandex.net/Fashion-200K/90997238_0.jpeg	black shirt, elbow sleeves, silk, shiny material	schwarzes Hemd, Ellbogenärmel, Seide, glänzendes Material
https://tlk.s3.yandex.net/Fashion-200K/89965050_0.jpeg	blue green midi dress, formal wear, short sleeves	blaugrünes Midikleid, formelle Kleidung, kurze Ärmel
https://tlk.s3.yandex.net/Fashion-200K/69395061_2.jpeg	navy blue thick winter jacket with hood	dunkelblaue dicke Winterjacke mit Kapuze
https://tlk.s3.yandex.net/Fashion-200K/91297583_3.jpeg	black turtle neck midi skirt, formal wear sleeveless	schwarzer Midirock mit Rollkragen, formelle Kleidung ärmellos
https://tlk.s3.yandex.net/Fashion-200K/91395688_2.jpeg	brown flowy midi skirt, formal wear	brauner fließender Midirock, formelle Kleidung
https://tlk.s3.yandex.net/Fashion-200K/91304777_1.jpeg	black leather formal wear sleeveless jacket	schwarzes Leder formelle Kleidung ärmellose Jacke
https://tlk.s3.yandex.net/Fashion-200K/90697794_2.jpeg	white long sleeves formal wear top, cotton	weißes formelles Oberteil mit langen Ärmeln, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/89705836_1.jpeg	black elbow sleeves, formal wear dress	schwarze Ellbogenärmel, formelles Kleid
https://tlk.s3.yandex.net/Fashion-200K/91185830_0.jpeg	blue long sleeves pregnancy dress, round neck	blaues Schwangerschaftskleid mit langen Ärmeln, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/2389718_5.jpeg	black winter jacket, shiny material, cropped jacket	schwarze Winterjacke, glänzendes Material, kurze Jacke
https://tlk.s3.yandex.net/Fashion-200K/88811346_3.jpeg	blue denim cropped jacket, sturdy jacket	blaue Denim-Cropped-Jacke, robuste Jacke
https://tlk.s3.yandex.net/Fashion-200K/88832233_2.jpeg	red mini printed floral skirts, cotton	roter Minirock mit Blumenmuster, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/91396518_0.jpeg	brown office wear suit, animal print	brauner Büroanzug, Animal-Print
https://tlk.s3.yandex.net/Fashion-200K/62173647_13.jpeg	black formal wear pants, slits on the side	schwarze Abendhose, Schlitze an der Seite
https://tlk.s3.yandex.net/Fashion-200K/91403183_0.jpeg	brown formal wear fitted slacks, cotton	braune Abendgarderobe taillierte Hose, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/90602700_1.jpeg	black sturdy leather jacket, biker jacket	schwarze robuste Lederjacke, Bikerjacke
https://tlk.s3.yandex.net/Fashion-200K/89110619_0.jpeg	orange sleeveless formal top, asymmetrical, cotton	orangefarbenes ärmelloses formelles Oberteil, asymmetrisch, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/89673422_1.jpeg	violet long evening dress, glittered material, short sleeves, vneck	violettes langes Abendkleid, glitzerndes Material, kurze Ärmel, Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/90502219_0.jpeg	pink midi dress, textured material, sleeveless	rosa Midikleid, strukturiertes Material, ärmellos
https://tlk.s3.yandex.net/Fashion-200K/91147877_0.jpeg	gray jogger pants, black waistband with strings	graue Joggerhose, schwarzer Bund mit Schnüren
https://tlk.s3.yandex.net/Fashion-200K/89513841_2.jpeg	beige long thick winter jacket, cotton	beige lange dicke Winterjacke, Baumwolle
https://tlk.s3.yandex.net/Fashion-200K/90765224_0.jpeg	red flowy formal wear slacks, no pockets	rote fließende Abendhose, keine Taschen
https://tlk.s3.yandex.net/Fashion-200K/90428576_0.jpeg	black sequin dress, long evening dress, loose neckline	schwarzes Paillettenkleid, langes Abendkleid, lockerer Ausschnitt
https://tlk.s3.yandex.net/Fashion-200K/88813219_1.jpeg	floral sequin top, short sleeves, round neck	florales Paillettenoberteil, kurze Ärmel, Rundhalsausschnitt
https://tlk.s3.yandex.net/Fashion-200K/91302398_0.jpeg	black printed top, spaghetti strap, flowy top	schwarzes bedrucktes Oberteil, Spaghettiträger, fließendes Oberteil
https://tlk.s3.yandex.net/Fashion-200K/91388778_1.jpeg	black mini formal wear dress, long sleeves	schwarzes Mini-Abendkleid, lange Ärmel
https://tlk.s3.yandex.net/Fashion-200K/90799179_0.jpeg	black see through button up top, belle sleeves	schwarzes, durchsichtiges Oberteil mit Knöpfen, Belle-Ärmel
https://tlk.s3.yandex.net/Fashion-200K/89279730_7.jpeg	black peplum button up formal suit	schwarzer Schößchen-Anzug mit Knopfverschluss
https://tlk.s3.yandex.net/Fashion-200K/88566158_4.jpeg	white women's formal wear slacks with back pockets	weiße Damen-Abendgarderobe mit Gesäßtaschen
